[1.9s-177.8s] OK 来吧 又是开开星星的一天没有办法
[177.8s-179.6s] 市场就是这么的牛逼
[179.6s-184.0s] 昨天跟大家讲过的今天收盘这根K线比较重要
[184.0s-188.6s] 如果说今天收音线 收盘价低于昨天的收盘价
[188.8s-190.8s] 那么我们就要开始当心了
[190.8s-193.9s] 如果说今天收盘价高于昨天的收盘价
[193.9s-195.6s] 那么不好意思继续
[195.8s-198.3s] 那昨天的答案也非常明确
[198.7s-201.9s] 今天市场远比我们预期的要强
[202.3s-204.2s] 昨天很多人被美股吓坏了
[204.2s-207.9s] 就是很多东西就直播间白讲
[208.6s-211.4s] 跟你们讲过A股是提前反应的
[211.4s-212.5s] A股是提前
[215.7s-216.5s] 用啥用
[220.3s-223.4s] 今天开场我就先给你们来读一下
[223.9s-228.3s] 昨天在我的拥有我企业微信的
[228.5s-230.1s] 钢筋钢筋铁粉
[230.8s-234.0s] VIPVIP铁粉大概是
[236.4s-237.3s] 五六百个人
[237.8s-238.4s] 五六百个人
[238.4s-239.1s] 六百多个人
[240.7s-241.7s] 六百多个人
[242.3s-244.2s] 昨天我收到了
[244.6s-247.1s] 收到了几个小可爱给我发的信息
[247.1s-247.7s] 唠大
[248.0s-249.7s] 昨天我看盘面不对
[250.2s-252.2s] 然后我把仓位剪下来了
[252.5s-253.7s] 你夸夸我
[255.5s-257.5s] 然后今天收盘老大我错了
[257.5s-259.9s] 我不该用主观自己的猪脑子
[260.6s-263.6s] 为我怎么样才能管住自己的手
[265.1s-267.6s] 我说管住自己的手非常简单
[267.9s-269.9s] 假如说你在我身边的话
[269.9s-271.8s] 我就打断你的手就完事了
[274.8s-276.4s] 还是那句话就是
[276.8s-278.6s] 刚才公平上面有一个粉丝
[278.6s-279.9s] 我觉得说的非常好
[280.1s-282.0s] 很多人都是把我的话
[282.0s-283.5s] 觉得我是谁口一讲
[283.9s-285.1s] 一点都不重视
[285.5s-288.1s] 刚才有一个粉丝说的非常好
[288.7s-292.2s] 我们的卖点早就在买入的那一刻
[292.2s-293.6s] 已经定下来了
[294.4s-295.7s] 定下来了以后
[295.7s-298.4s] 胜负就是交给市场
[299.4s-301.7s] 很多人对这句话还是不理解
[302.5s-305.6s] 总喜欢用自己的脑袋
[306.6s-311.7s] 在盘中在盘前随意去乱判断
[312.3s-315.9s] 就是不愿意按最早的时候
[315.9s-319.0s] 定下来的标准去卖
[320.2s-321.4s] 就是不愿意
[321.6s-322.6s] 就是不愿意
[322.8s-323.7s] 就是不愿意
[332.7s-335.3s] 我们的卖点是非常明确的第一
[337.1s-339.2s] 科技股出现大面积的复返会
[339.2s-341.9s] 60%以上的个股出现大面积的复返会
[342.7s-343.5s] 可以减仓
[344.0s-344.6s] 第二
[345.3s-347.3s] 指数或则实系统出现
[347.5s-348.7s] 空投信号
[348.9s-351.4s] 仓位降到四层仓
[352.0s-352.7s] 以下
[353.3s-354.7s] 然后昨天的直播
[354.7s-356.1s] 临时给你们加了一条
[356.1s-357.8s] 我说今天收盘
[357.8s-359.4s] 如果说是收盘价
[361.2s-362.1s] 收盘价
[362.9s-363.7s] 跌破
[364.4s-365.1s] 跌破
[365.7s-367.7s] 昨天没有收到昨天的
[368.3s-369.0s] 收盘价以上
[369.0s-371.0s] 那么明天我们就要当心了
[384.4s-387.7s] 我来把一些粉丝经常容易犯的错误
[388.4s-390.9s] 为什么还是有很多人
[390.9s-393.2s] 总觉得自己能卖到最高点
[393.5s-396.2s] 总想让自己卖在最高点
[397.9s-399.4s] 我说了你是神仙吗
[399.4s-400.5s] 你能预测未来吗
[400.5s-401.5s] 既然不能
[402.6s-404.7s] 就好好地执行
[404.9s-407.0s] 在买入的那一刻
[407.3s-409.8s] 定下来的卖股标准
[411.0s-412.5s] 这是第一类大聪明
[413.3s-414.5s] 昨天很骄傲
[414.5s-415.5s] 很兴奋的跟我说
[415.5s-416.1s] 估计他看到
[416.1s-417.5s] 昨天晚上没股跌了
[417.7s-418.5s] 他更骄傲了
[419.1s-420.6s] 今天回头收盘一看
[422.4s-423.2s] 人麻了
[426.1s-426.8s] 人麻了
[427.3s-427.9s] 第一类
[428.3s-429.4s] 第二类大聪明
[430.5s-432.4s] 老大我昨天把存储芯片的
[432.4s-433.6s] 得名力给卖掉了
[433.6s-435.1s] 我把仓位平移掉了
[435.1s-437.1s] 价格更低的三花
[439.1s-440.4s] 这又是一种大聪明
[441.6s-443.7s] 我在讲分配仓位的时候
[443.7s-444.8s] 说的非常明确
[444.8s-447.1s] 三花因为属于补涨
[447.1s-448.8s] 不确定性会更加高一些
[449.8s-453.8s] 他的仓位配置绝对不能超过三层
[454.5s-456.3s] 最好是2.5到三层
[457.1s-458.1s] 其他的评铺
[458.1s-460.6s] 至于在得名力海光那个时候
[460.6s-461.1s] 我跟你们讲
[461.1s-462.6s] 你们要如果哪个标准
[462.6s-464.2s] 稍微有点偏重随便你们
[465.6s-466.7s] 这是第二类大聪明
[466.7s-468.4s] 我也不知道他在骄傲什么
[469.1s-469.9s] 没明白
[469.9s-471.6s] 就是听完我的直播
[471.6s-472.7s] 他根本就没理解
[473.9s-475.8s] 他昨天很骄傲的发了这个
[475.8s-477.6s] 我看了半天回也不想回
[477.8s-478.9s] 也不知道回啥
[480.7s-482.8s] 这是第二类拿到大结果的人
[482.8s-483.6s] 我看不懂
[483.6s-484.4s] 我不明白
[485.3s-486.0s] 我不明白
[486.0s-486.6s] 我不懂
[491.0s-491.7s] 我不明白
[492.3s-492.7s] 对吧
[493.6s-495.9s] 就评铺就是非常标准化的
[495.9s-496.7s] 就是评铺
[502.8s-504.4s] 这是第二类大聪明
[507.1s-509.1s] 这是第二类大聪明
[515.1s-515.7s] 能懂吗
[516.6s-517.1s] 能懂吗
[518.7s-521.5s] 第三类大聪明是今天发生的
[521.5s-523.1s] 今天有一个粉丝
[523.1s-524.6s] 一个粉丝跟我说
[525.3s-525.8s] 老大
[526.2s-529.4s] 今天盘中三花跌破了49块9
[529.4s-531.4s] 是不是我就应该割掉了
[532.1s-533.4s] 昨天的直播白讲了
[535.1s-537.2s] 昨天直播间非常明确的说
[537.2s-539.6s] 三花同学收盘价
[539.6s-545.3s] 如果低于49块9毛
[546.9s-550.8s] 那么就属于止损的位置
[550.8s-551.5s] 还记得吗
[553.3s-555.1s] 因为我就怕直播间
[555.6s-556.9s] 有很多韭菜
[558.1s-559.9s] 然后我还特意补充了一句
[559.9s-561.1s] 我说收盘
[562.1s-563.4s] 如果不服
[563.4s-565.7s] 去听昨天的直播回放
[568.6s-571.0s] 你说让我怎么说这些人
[572.0s-573.2s] 一类大聪明
[573.2s-574.4s] 两类大聪明
[574.4s-575.7s] 三类大聪明
[577.3s-578.4s] 都是大聪明
[578.8s-580.3s] 我跟你们讲过了
[580.7s-582.5s] 股市是概率性的游戏
[588.6s-589.7s] 不要妄图天天
[589.8s-590.9s] 想买在最好的股票
[590.9s-592.8s] 也不要妄图天天卖在最高点
[592.8s-594.5s] 也不要妄图很多妄念
[595.0s-597.3s] 妄念会给你带来巨大的灾难
[605.1s-606.7s] 每天晚上的直播
[606.7s-611.1s] 我的每一句话都非常重要
[611.1s-612.3s] 如果你的交易能力
[612.3s-614.7s] 真的现在还是属于偏小白类的
[614.8s-615.8s] 就努力一点
[619.1s-620.7s] 我刚才说的所有的话
[620.7s-622.6s] 你们自己去听回放有哪一句
[622.9s-624.7s] 我跟你们讲过我是李科生
[625.2s-627.6s] 我是一个非常执着于标准化
[627.6s-628.8s] 严谨化的人
[638.2s-639.9s] 你看又公平的又有人问
[640.1s-642.0s] 天天在说的这种话题
[642.0s-643.7s] 盘中折拾出现空就要
[643.7s-645.0s] 检测到四层以下
[645.3s-646.5s] 折拾系统是伟盘看的
[646.5s-648.3s] 伟盘看了这句话说了多少遍了
[651.4s-652.6s] 你们在学什么
[653.3s-654.2s] 你自己的钱
[654.2s-655.9s] 自己无所谓的是吗
[656.9s-658.7s] 花了钱到直播线来
[659.2s-660.9s] 花了钱在股市里面炒股
[660.9s-662.3s] 就自己是无所谓的对吧
[668.5s-670.2s] 我真的有的时候想问问你们
[670.2s-671.9s] 你们对自己负责任吗
[672.5s-674.6s] 你们对你们的家人负责任吗
[676.3s-678.1s] 你们对你们的孩子负责任吗
[681.2s-683.8s] 有些人在骂自己小孩的时候读书不行
[683.8s-685.2s] 这个不行要好好读书
[685.5s-686.6s] 反观你自己
[688.9s-689.7s] 反观你自己
[689.7s-691.5s] 我有的时候真想说一遍
[692.3s-694.1s] 你交易真的是为我做的吗
[695.0s-697.4s] 你口袋里的钱是我的吗
[716.0s-717.4s] 我这么严格的
[717.4s-718.8s] 每天在这里直播
[718.8s-719.9s] 现在因为行情好
[719.9s-721.5s] 有的时候经常是超时间
[721.5s-723.0s] 播一个多小时
[726.1s-728.0s] 希望大家能够
[728.8s-729.8s] 今天来的没事
[730.0s-731.1s] 这两天来的都没事
[731.2s-731.8s] 有些粉
[731.8s-733.3s] 我不是说你们
[733.3s-734.7s] 有一些粉不是今天来的
[734.7s-736.1s] 有些名字我太熟悉了
[736.4s-737.1s] 你们懂吗
[737.8s-739.1s] 新粉无所谓
[739.1s-740.6s] 因为新粉我跟你们说过
[740.6s-742.0s] 对你们我只有一个要求
[742.4s-744.2s] 去把所有的历史直播回放
[745.1s-747.1s] 至少在3月26号以后的
[747.1s-748.8s] 这能行情的都要去看一遍
[748.9s-750.0s] 第二把新法看一遍
[750.0s-751.3s] 这是对于新粉的要求
[751.4s-752.8s] 我骂的是有些老粉
[752.9s-754.3s] 或者说一些半老粉
[754.3s-757.4s] 进直播间已经有三个礼拜以上了
[765.0s-765.4s] 来吧
[765.4s-765.9s] 把妈你们了
[765.9s-766.4s] 今天
[767.4s-769.3s] 只能靠你们自己去反思了
[769.3s-771.2s] 就像那个粉丝问我这个问题
[771.7s-773.3s] 老大我还是管不住手
[773.3s-774.5s] 又把仓位卖飞了
[774.5s-775.4s] 我该怎么办
[775.4s-776.4s] 我告诉你们
[776.6s-777.5s] 该怎么办
[779.0s-780.5s] 所有的这种
[781.1s-782.7s] 卖飞就是动不动
[782.7s-783.9s] 不按标准来卖
[783.9s-785.3s] 这是动不动拿不住
[785.5s-786.8s] 能够帮你解决的
[786.8s-787.7s] 只有你自己
[788.8s-791.1s] 因为没有人可以握住你的手
[791.3s-792.1s] 拉得住你
[792.7s-794.9s] 哪怕你身边有石头牛
[795.9s-797.1s] 也拉不住你
[799.8s-801.1s] 这个问题是没有
[801.1s-802.4s] 可以别人帮你解决的
[802.4s-803.1s] 只能靠自己
[804.7s-805.6s] 听老大的课
[805.6s-806.1s] 看着软件
[806.1s-809.5s] 现在交易心理是定的
[810.3s-810.9s] 对的
[811.3s-812.1s] 非常重要
[812.7s-813.3s] 非常重要
