[13.5s-15.5s] 来 晚上好
[15.5s-38.0s] 稍等我把屏幕调一下
[38.0s-49.2s] 来 OK
[49.2s-51.2s] 行情黄了
[51.2s-53.2s] 你想象里也是挺丰富的
[55.2s-57.2s] 神级预判
[57.2s-59.2s] 这个没有预判的
[59.2s-61.2s] 只是告诉你们了
[61.2s-63.2s] 当我们看到一个什么信号的时候
[63.2s-65.2s] 当我们看到如果说
[65.2s-67.2s] AI里面的大容量
[67.2s-71.2s] 60%及60%以上的标的
[71.2s-73.2s] 出现大面的时候
[73.2s-75.2s] 出现负反会的时候
[75.2s-77.2s] 那么就要当心了
[77.2s-79.2s] 你们也会发现就是今天
[79.2s-81.2s] 就由我起微信的人
[81.2s-83.2s] 你们会看到我大概是在10点
[83.2s-85.2s] 我在10点几分我看一下
[85.2s-89.2s] 应该是在10点30多分我看一下
[89.2s-91.2s] 看一下自己的朋友圈
[91.2s-95.2s] 我应该是在10点44
[95.2s-97.2s] 我差不多是在10点半
[97.2s-99.2s] 看完盘面以后
[99.2s-101.2s] 我发现今天在盘面
[101.2s-103.2s] 就已经算是出现了
[103.2s-105.2s] 之前的信号了
[105.2s-107.2s] 那么在10点44分
[107.2s-109.2s] 发了这条朋友圈
[109.2s-111.2s] 朋友圈说的也是比较明确的
[111.2s-113.2s] 创业版新高 科技股
[113.2s-115.2s] 确实是久违的普遍
[115.2s-117.2s] 这次是狼真的来了
[117.2s-119.2s] 边打边撤退
[119.2s-121.2s] 理论上像今天这种行情
[121.2s-123.2s] 把仓位降到四层仓位以下
[123.2s-125.2s] 我觉得操作上面都OK
[125.2s-127.2s] 操作上面都OK
[127.2s-130.2s] 那么当然我们的票还是真的硬
[130.2s-132.2s] 还是那句话就是
[132.2s-134.2s] 我们的票是真的硬
[134.2s-138.2s] 德明利加海光加三花
[138.2s-140.2s] 今天还让我们综合
[140.2s-142.2s] 如果在我那个点
[142.2s-144.2s] 我提醒的那个点去检查
[144.2s-148.2s] 今天应该是不怎么亏钱
[148.2s-149.2s] 你们去看一下
[149.2s-151.2s] 10点44分德明利的股价
[151.2s-153.2s] 然后海光的股价
[153.2s-155.2s] 还有三花的股价
[155.2s-156.2s] 如果在那个节点去卖
[156.2s-158.2s] 今天应该还能微转
[158.2s-160.2s] 那么当然有些可能
[160.2s-162.2s] 没有我的起位的
[162.2s-163.2s] 那你现在也没有看到的
[163.2s-164.2s] 但是问题不大
[164.2s-166.2s] 因为今天一下子杀
[166.2s-168.2s] 明天有部分个股会有反抽
[168.2s-170.2s] 今天跌的有一些标记里面
[170.2s-172.2s] 明天有部分个股会有反抽
[174.2s-175.2s] 朋友圈怎么得到
[175.2s-176.2s] 你们去问一下
[176.2s-178.2s] 你的专属客服
[178.2s-180.2s] 理论上面
[180.2s-182.2s] 今天走没有什么太大问题
[182.2s-183.2s] 就我跟你们讲过以前
[183.2s-184.2s] 跟你们讲过一句话
[184.2s-186.2s] 昨天也跟你们讲过一句话
[209.1s-210.1s] 明天我估计有部分标记
[210.1s-212.1s] 不一定有反抽的机会
[212.1s-214.1s] 这句话一定是对的
[215.1s-217.1s] 公平上面有一个粉说了一句废话
[217.1s-219.1s] 叫做明天反抽也是走的机会
[220.1s-222.1s] 反抽一定是走的机会
[222.1s-225.1s] 但是有些个股不一定会有反抽
[225.1s-226.1s] 就我跟大家讲过的
[226.1s-228.1s] 就昨天跟大家讲过的
[228.1s-230.1s] 很早就跟大家讲过一句话
[230.1s-231.1s] 就是说
[231.1s-234.1s] 我们出现AI科技股大调整的时候
[235.1s-237.1s] AI科技股大调整的时候
[238.1s-240.1s] 那么就是我们把仓位
[240.1s-242.1s] 降下来的时刻
[243.1s-244.1s] 交易这件事情
[244.1s-246.1s] 我们的逻辑非常简单
[246.1s-249.1s] 当市场风险大于机会的时候
[249.1s-253.1s] 我们选择的是清掉部分仓位
[254.1s-255.1s] 落带为安
[255.1s-257.1s] 没有人可以知道明天后天
[257.1s-258.1s] 一定怎么走
[258.1s-259.1s] 如果知道了
[259.1s-261.1s] 那你不all in完事了
[261.1s-263.1s] 但是我们永远用养家的
[263.1s-264.1s] 养家新法的说法
[264.1s-266.1s] 就是一直在评估市场的盈亏比
[266.1s-269.1s] 那么这就是为什么在10点44分
[269.1s-271.1s] 我会跟大家讲
[271.1s-273.1s] 会分享这个朋友圈
[273.1s-274.1s] 我觉得已经出现了
[274.1s-277.1s] 我们在计划当中的信号
[278.1s-280.1s] 计划当中的信号叫做什么
[280.1s-282.1s] 有60%
[282.1s-285.1s] 其60%以上的个股
[285.1s-287.1s] 出现AI大容量的标记
[287.1s-288.1s] 出现面条的时候
[288.1s-290.1s] 那么我们就要当心
[290.1s-292.1s] 那么我们就要当心
[292.1s-293.1s] 所以你们今天
[293.1s-295.1s] 也可以发现一个现象来
[296.1s-298.8s] 看
[298.8s-301.8s] 其实今天10点多
[301.8s-302.8s] 我为什么会分享这个
[302.8s-303.8s] 主要是因为看到
[303.8s-305.8s] 中国长城这种死样子
