[6.6s-14.9s] 来晚上好
[14.9s-193.1s] OK那么
[193.1s-195.1s] 来大家集合啊
[195.1s-197.1s] 我们开始讲盘面
[197.1s-200.1s] 然后很多人在讨论这个多多多的问题
[200.1s-202.1s] 反正直播间都是白听的
[202.1s-205.1s] 懒得跟私聊我的人废话
[205.1s-206.1s] 能懂吗
[206.1s-207.1s] 懒得跟私聊
[207.1s-210.1s] 我什么时候说过这里出现多
[210.1s-215.5s] 仓位可以加重我什么时候说的
[215.5s-223.2s] 我在昨天的直播有说过这句话吗
[223.2s-225.2s] 我在直播的时候有说过这句话吗
[225.2s-229.8s] 我印象当中我只说过一句话叫做
[229.8s-232.8s] 当这里出现空的时候
[232.8s-234.8s] 并且
[234.8s-237.8s] 当出现空的时候就是两转一空
[237.8s-240.8s] 两空一转要干嘛要清仓
[240.8s-244.8s] 我有说过这里如果继续保持多要
[244.8s-247.8s] 可以重仓我有说过吗
[247.8s-249.8s] 我印象当中我从来没说过
[249.8s-251.8s] 我记得昨天的直播我想的非常
[251.8s-255.8s] 讲的非常清楚现在处于四阶段
[255.8s-258.8s] 四阶段是一个修整期
[258.8s-260.8s] 这里的调整力度
[260.8s-263.8s] 我们还没法去评估到底能怎么样子
[263.8s-265.8s] 但一般情况下面四阶段的调整
[265.8s-267.8s] 会比二阶段要时间要久
[267.8s-271.8s] 理论上面至少要五到十天
[271.8s-274.8s] 这是说的比较明确的
[274.8s-277.8s] 昨天根本就没有去谈论过今天
[277.8s-279.8s] 这个指标会出现多还是转
[279.8s-282.8s] 其实这对我们来说的没有太大的意义
[283.8s-284.8s] 对吧
[284.8s-287.8s] 这对于我来说没有太大的意义
[287.8s-290.8s] 因为他这里多转
[290.8s-291.8s] 没有什么意义
[291.8s-293.8s] 他四阶段里面
[293.8s-296.8s] 他可以不跌破不跌破多空线
[296.8s-298.8s] 他维持在这里震荡
[298.8s-302.5s] 对吧
[302.5s-303.5s] 然后昨天还说了
[303.5s-305.5s] 如果实在首养给你们两个方向
[305.5s-306.5s] 一个是机器人
[306.5s-308.5s] 一个是半导体员材料
[308.5s-311.5s] 仓位一定要控制在四层仓位以下
[311.5s-314.5s] 反正亏也不会亏太多
[314.5s-317.5s] 亏损的概率也不是特别高
[317.5s-318.5s] 那么有机位还能微盈利
[318.5s-320.5s] 总比你们去瞎折腾好
[320.5s-321.5s] 对吧
[321.5s-327.5s] 这是我觉得对昨天整个行情的一个定性
[327.5s-329.5s] 然后还有一个定性的标准是什么
[329.5s-330.5s] 跟你们讲过
[330.5s-331.5s] 这一个阶段的赚钱难度
[331.5s-333.5s] 一定比前面要高得多
[333.5s-335.5s] 这一个阶段的我们主策略是干嘛
[335.5s-339.5s] 是守住之前的财富
[342.1s-344.1s] 应该标准是比较清楚的
[344.1s-347.1s] 当然有些人仓位喜欢上重仓
[347.1s-349.1s] 这还是你们的事情
[349.1s-352.1s] 反正我直播间还是讲我的标准
[352.1s-354.1s] 我的标准的逻辑非常简单
[354.1s-357.1s] 还是根据大环境去决定仓位
[357.1s-358.1s] 有了仓位以后
[358.1s-359.1s] 再去看方向
[359.1s-360.1s] 有了方向以后
[360.1s-362.1s] 再去选个个想些标准
[362.1s-364.1s] 拿着只不过是所谓的视错仓
[364.1s-365.1s] 昨天跟大家讲过
[365.1s-367.1s] 有个视错仓的概念
[367.1s-368.1s] 实在是有些人憋不住
[368.1s-369.1s] 你要先拿点视错仓
[369.1s-371.1s] 放的反正哪怕真的出现
[371.1s-373.1s] 继续往下跌了
[373.1s-377.1s] 那么就是浮亏也是有限的
[377.1s-379.1s] 浮亏也是有限的
[379.1s-381.1s] 他不可能说会很大
[381.1s-383.1s] 那么至少在这个阶段
[383.1s-385.1s] 还有机会去做个五阶段
[385.1s-387.1s] 所以我说浮亏比较有限
[387.1s-389.1s] 你说一定要去布局个四层倉位以下
[389.1s-391.1s] 至少现在我们的逻辑上面
[391.1s-393.1s] 还没有出现
[393.1s-394.1s] 对吧
[394.1s-396.1s] 还没有出现
[396.1s-398.1s] 空
[398.1s-400.1s] 所以说你说有几层倉位的
[400.1s-402.1s] 视错倉位放在这里面
[402.1s-404.1s] 也满足我们的交易模型
[404.1s-407.1s] 我还是根据我们整个软件的交易模型
[407.1s-408.1s] 跟大家去讲
[408.1s-410.1s] 至于每个人你属于ABCD
[410.1s-412.1s] 哪一种类型的玩家
[412.1s-414.1s] 反正我就是那么一句话
[414.1s-417.1s] 到时候亏钱了不要来抱怨
[417.1s-419.1s] 亏钱了就把直播再去听
[419.1s-420.1s] 亏钱的惩罚就是去直播
[420.1s-422.1s] 再去听个识别
[422.1s-427.9s] 很多人都是好了
[427.9s-429.9s] 伤疤忘了痛
[429.9s-431.9s] 已经忘记这里的事情
