[10.4s-209.7s] 哈喽大家晚上好啊
[212.7s-214.7s] 今天5202靠
[215.3s-216.3s] 堵死我了真的是
[219.0s-222.0s] 我还今天还特意把吃饭时间调到了
[223.1s-223.8s] 5点钟
[225.4s-226.6s] 把他吃到7点钟
[235.9s-237.6s] 朋友全是玻璃
[238.2s-239.2s] 这是什么话说
[240.2s-241.5s] 全是玻璃是什么鬼
[243.7s-245.2s] 不是应该全是狗粮吗
[246.2s-247.5s] 正式上朝了
[258.4s-259.6s] 去香胡吃的
[261.6s-262.4s] 碎了
[265.4s-267.2s] 好OK那么
[268.0s-272.6s] 今天本来就比较迟啊所以我们就尽快
[272.9s-273.9s] 进入节奏好吧
[274.6s-277.5s] 那么今天市场其实是惨淡了一天
[278.0s-281.1s] 我们可以看到整个市场涨跌停个股
[281.8s-282.9s] 我们的
[283.4s-287.4s] 涨跌版加速是61家啊跌停版是
[287.9s-292.6s] 22家那么涨跌对比的话你去看一下1600个个股是上涨的
[293.3s-298.4s] 38002个个股是下跌的啊
[299.0s-300.8s] 那么市场其实是一个
[301.3s-304.4s] 非常简直的我们跟你们讲的叫做什么
[304.9s-306.4s] 我给你们讲的叫做什么
[306.6s-308.7s] 叫做结构性行情
[309.5s-311.5s] 这就是四阶段
[311.8s-313.1s] 五阶段的特色
[313.6s-316.1s] 你们去看我们走一阶段的时候走
[317.6s-318.9s] 对吧其实是
[319.4s-322.0s] 可以说是一个科技股的普展行情
[322.3s-325.3s] 我们不能说是一个全市场的普展行情
[325.6s-328.7s] 但至少是一个ai科技的一个普展行情
[328.9s-331.7s] 多多少少只要是跟ai相关的标的
[332.5s-334.1s] 总归都是能赚点钱
[334.8s-335.3s] 对吧
[336.4s-338.4s] 总归都是能赚点钱
[339.1s-339.9s] 但是呢
[340.9s-345.6s] 但是呢四阶段五阶段我们就会发现我给你们之前定的基调我说的是在
[345.8s-347.4s] ai科技里的
[347.9s-348.9s] 结构性
[349.7s-350.5s] 暴团
[351.8s-355.1s] 能懂吗ai科技里的结构性暴团
[355.4s-358.6s] 所以五阶段它本来就不是一个特别好做的
[358.7s-360.5s] 只有部分个股
[361.2s-363.3s] 具备再上涨的机会
[363.5s-365.8s] 还有很多个股其实是不具备的
[366.1s-369.4s] 那么这几天的盘面其实表现的就是淋漓尽致
[370.2s-371.4s] 啊淋漓尽致
[371.6s-372.2s] 那么
[374.2s-376.2s] 还好啊我们选的标的
[376.5s-377.5s] 比较硬
[377.7s-378.5s] 比较硬
[379.1s-379.9s] 啊
[380.2s-384.4s] 赵易创新今天是逆市早上非常强势啊那么
[385.7s-387.0s] 哎我记得昨天
[387.4s-391.1s] 直播间啊还被我狠狠的批评了一顿
[391.6s-393.8s] 拿了一个粉丝作为案例
[394.6s-396.6s] 啊那么今天收到的
[397.2s-399.3s] 收到的收到的那个
[399.8s-401.3s] 起位里面收到的那个
[401.9s-403.6s] 消息最有意思的是什么
[404.1s-406.7s] 最有意思的是有几个粉丝跟我说
[407.3s-408.0s] 老大
[408.7s-413.8s] 现在可以偷偷的告诉你了其实昨天我也卖飞了但是我没好意思跟你说
[414.3s-417.7s] 还好你昨天直播间给我们劈头盖脸一顿
[417.9s-422.5s] 爆骂以后我今天早上开盘就默默的又把他接了回来
[424.4s-427.4s] 嗯你说你说有的时候我该不该骂
[429.1s-431.1s] 你说有的时候我该不该骂
[432.8s-437.1s] 一骂这几个卖飞的人老老实实的早上进家去接回来了
[439.0s-440.0s] 所以
[441.2s-443.1s] 我永远都是一句话就是
[444.0s-450.1s] 直播间对你们严厉啊有的时候甚至批评的会非常非常的重
[450.5s-455.5s] 你们永远要细劳一点在这个社会上面能给你们讲几句真话的人一定不多
[458.2s-460.8s] 能给你们讲几句真话的人一定不多
[462.1s-463.1s] 你们自己去看
[466.3s-467.6s] 你们自己去想为什么
[468.4s-469.6s] 真话伤人啊
[470.1s-476.1s] 这个就是一个客观事实他是符合人性的很多的真话实话他就是伤人的
[477.1s-481.1s] 如果站在我的立场上面我就应该平平静静的播
[483.1s-484.1s] 对吧
[484.1s-485.1s] 但是
[485.1s-486.1s] no
[486.1s-487.1s] no
[487.1s-489.1s] 就不符合我的性格
[489.1s-492.1s] 我觉得所有的东西还是要回归到本质
[492.1s-495.1s] 还有一个就是做一件事情就要把这件事情做好
[495.1s-498.1s] 我做到了你们做不好那是你们的问题我没做好
[498.6s-500.6s] 我没做好那就是我的问题
[501.6s-503.6s] 我永远都是这个逻辑
[504.6s-506.6s] 我永远都是这个逻辑
[507.6s-511.6s] 我做了你们没做好那是你们的问题
[511.6s-515.6s] 我也不背锅我没做那就是我的问题
[516.6s-519.6s] 在这个社会上面成长了以后有一套
[519.6s-520.6s] 特别
[520.6s-524.6s] 有一套特别实用和特别需要的一个思维
[525.1s-527.1s] 叫做
[527.1s-530.6s] 谁承诺谁负责
[530.6s-532.6s] 能懂吗
[532.6s-535.6s] 所以自己做了自己该做的事情以后
[535.6s-537.6s] 其他的就要交给你们自己
[537.6s-539.6s] 其他的就要交给你们自己
[541.6s-543.6s] 那么回归到我们的盘面
[543.6s-545.6s] 其他我就
[545.6s-547.6s] 不伤人就伤钱
[548.6s-550.6s] 你是误道的人
[551.6s-553.6s] 在伤人和伤前之间
[553.6s-555.6s] 你们自己选择吧
[555.6s-558.1s] 你不喜欢伤人还是伤你自己的钱
[560.1s-561.1s] 今天没买
[561.1s-562.1s] 所以明天还能买
[562.1s-563.1s] 你就别听直播了
[563.1s-564.1s] 拖出去
[564.1s-568.9s] 那你这三天在干吗
[568.9s-575.6s] 在这520的日子我不想骂女粉
[575.6s-580.8s] 在这520的日子我不想骂女粉
[582.8s-583.8s] 我说了
[583.8s-585.8s] 我没分享是我的问题
[585.8s-586.8s] 我分享了
[586.8s-587.8s] 做的好不好
[587.8s-589.8s] 这是你们自己的问题
[589.8s-592.8s] 一概不对你们自己的行为负任何责任
[592.8s-594.8s] 懂了吗
[595.8s-600.1s] 这就是我刚才说的
[600.1s-602.1s] 每一件事情上面要有明确的划分
[602.1s-606.0s] 我做到了我该做的
[606.0s-608.0s] 做不好就是你们的问题
[613.4s-615.4s] 我选择了伤心
[615.4s-617.4s] 可以
[617.4s-621.4s] 那么来我们把盘面
[621.4s-623.4s] 来理一下
[623.4s-625.4s] 我们把盘面来理一下
[625.4s-627.4s] 那么韩轩的话
[627.4s-629.4s] 我就不过都讲了一次一次的验证
[629.9s-631.9s] 我再给你们分享一个粉丝很真实的话
[632.9s-634.9s] 我再给你们分享
[634.9s-637.9s] 一个粉丝很真实的话
[639.9s-641.9s] 他今天发给我的
[641.9s-643.9s] 我感觉这个人应该是个女粉
[643.9s-644.9s] 他说
[644.9s-645.9s] 老大
[645.9s-647.9s] 你实在是太会骗人了
[648.9s-650.9s] 在直播间一直跟我们说
[650.9s-653.9s] 大家的悬谷能力差不了太多
[653.9s-655.9s] 你就比我们好一点点
[656.9s-657.9s] 为什么
[658.4s-660.4s] 你选的票为什么逆势能长
[660.4s-662.4s] 还要骗我们说
[662.4s-664.4s] 大家的悬谷能力差不多
[664.4s-666.4s] 最后还补了一个
[666.4s-668.4s] 花号
[668.4s-670.4s] 你这个大猪蹄子
[670.4s-672.4s] 我操
[672.4s-676.2s] 你这个大猪蹄子
[676.2s-678.2s] 你说
[678.2s-680.2s] 我真的看了他的
[680.2s-683.8s] 我就特别想笑
[683.8s-685.8s] 可爱是蛮可爱的
[685.8s-687.8s] 这不跟你们讲过了吗
[688.3s-694.5s] 这不跟你们讲过了吗
[694.5s-696.5s] 悬谷能力真的是差不多的
[696.5s-698.5s] 大家的悬谷能力差不了太多
[698.5s-700.5s] 但是
[700.5s-702.5s] 我跟直播间的各位
[702.5s-704.5s] 谦虚一点说
[704.5s-706.5s] 就好那么一丢丢
[706.5s-708.5s] 就一点点
[708.5s-710.5s] 没毛病
[710.5s-712.5s] 自然来说的
[712.5s-714.5s] 是一点点
[714.5s-716.5s] 是一点点
[716.5s-718.5s] 好 OK
[718.5s-720.5s] 你们自己去体会
[721.0s-723.0s] 我觉得还是
[723.0s-725.0s] 节点对世界的理解力
[725.0s-727.0s] 你们有没有发现
[727.0s-729.0s] 在众多的消息面当中
[729.0s-731.0s] 我就跟你们讲了
[731.0s-733.0s] 在这一个阶段
[733.0s-735.0s] 四阶段这个节点上面
[735.0s-737.0s] 在四阶段这个节点上面
[737.0s-739.0s] 我就跟你们讲了这个消息面
[739.0s-741.0s] 我说了
[741.0s-743.0s] 长新科技上市机构
[743.0s-746.6s] 对它的预期
[746.6s-748.6s] 变成了5万亿
[748.6s-750.6s] 5万亿
[751.1s-753.1s] 你们知道意味着什么吗
[753.1s-755.1s] 为什么
[755.1s-757.1s] 我从德明利
[757.1s-759.1s] 切完了以后又切了照益
[759.1s-761.1s] 你们去想一想
[761.1s-763.1s] 最早我们做摆维
[763.1s-765.1s] 摆维做完以后
[765.1s-767.1s] 做德明利
[767.1s-769.1s] 德明利那个阶段是不是最强的
[769.1s-771.1s] 跟江波龙两个标记最强对吧
[771.1s-773.1s] 最终来看还是德明利更强
[773.1s-775.1s] 对吧
