[3.2s-6.8s] ok 那么今天晚上临时有事情啊
[6.8s-11.7s] 然后本来想给大家直播调到明天早上给你们播的
[11.7s-13.9s] 然后我想想还是现在给你们播了吧
[13.9s-17.1s] 那么你们就听这个回放就好了
[17.1s-19.2s] 一样的啊 今天必须要讲一下
[19.2s-21.9s] 本来想着翘一天班的算了算了算了
[21.9s-22.9s] 还是来讲一下
[23.9s-28.2s] ok 那我们就快速的把盘面的内容讲完
[28.2s-30.9s] 首先 先来回顾一下消息面啊
[30.9s-32.6s] 周末假期没有太大的消息面
[32.6s-35.0s] 第一个消息面就是战争方面的话
[35.0s-37.0s] 好像基本到核弹阶段了吧
[37.0s-38.2s] 这个我们具体不知道
[38.2s-39.4s] 反正现在也已经拖鸣了
[39.4s-42.5s] 对于我们来说不是特别重要
[42.5s-43.5s] 那么这个我们不去管
[43.5s-44.9s] 第二个是那个
[44.9s-49.5s] diposake好像降了那个talking的收费
[49.5s-51.2s] 还说是永久性的
[51.2s-53.5s] 这对于AR来说发展是一个利好
[53.5s-57.0s] 可能对算力有一点小小的缓冲吧
[57.0s-58.0s] 这是第二个
[58.0s-59.2s] 然后第三个的话
[59.2s-60.6s] 假期没有什么太多的
[60.6s-62.9s] 无非就是漂亮国那边
[62.9s-64.2s] 美股这边好像也没有什么
[64.2s-66.8s] 周务也没有什么太大的动静
[66.8s-68.0s] 消息面就这些
[68.0s-68.8s] 我们就不过多讲了
[68.8s-70.5s] 主要是来讲一下盘面
[70.5s-71.0s] 很多人
[74.2s-76.8s] 一根阳线又开始行情来了
[76.8s-78.7s] 一根阴线行情没了
[78.7s-81.0s] 上次是不是跟你们讲的很明确
[82.2s-83.5s] 我再重复一遍
[84.8s-86.3s] 这里是要一阶段
[87.5s-88.7s] 一阶段主声浪
[88.7s-89.7s] 二阶段调整
[89.7s-91.5s] 三阶段主声浪
[91.5s-93.3s] 现在进入什么四阶段
[94.8s-96.2s] 四阶段调整五阶段
[96.2s-97.0s] 五阶段没有破
[97.0s-98.2s] 其实这里是四阶段
[99.2s-100.5s] 很多人有意识到了
[100.5s-102.2s] 因为我说过这里是起主声浪
[102.2s-103.5s] 我们才能说是五阶段
[104.3s-106.0s] 起主声浪才能说是五阶段
[106.0s-107.3s] 他没有起
[107.3s-108.8s] 这里还是依旧在四阶段
[108.8s-109.8s] 四阶段就是一个震荡
[111.3s-113.5s] 要么走的强势一点走成这样
[114.7s-115.8s] 心里有个底就好了
[117.2s-118.5s] 你就有意识
[119.3s-120.7s] 走的强势一点就走成这样
[120.7s-122.5s] 在一个箱体里面做震荡
[123.8s-125.2s] 他不会去跌破
[126.2s-128.1s] 不会去跌破相对来说比较窄
[128.1s-128.4s] 看到没有
[128.4s-129.8s] 这个箱体会比较窄
[131.2s-132.2s] 但是你去放大了
[132.2s-133.3s] 看其实也不小了
[133.3s-134.8s] 你看这里也601
[135.2s-135.7s] 对不对
[136.2s-137.4s] 但不代表他不会长
[137.4s-138.6s] 他当然也会长
[138.6s-139.4s] 你看跌多了
[139.4s-140.3s] 他就会长谈
[140.3s-141.4s] 1234567
[141.4s-141.9s] 是不是
[143.2s-144.6s] 这里的核心逻辑是
[144.6s-145.9s] 你能不能去把握
[145.9s-146.8s] 这一个周期里面
[146.8s-147.4s] 你能赚到钱
[147.9s-149.9s] 而不是说你就偏偏抓这里
[149.9s-151.2s] 然后这里你躲过了
[151.2s-152.2s] 然后又抓到了这里
[152.2s-152.7s] 又这里
[153.2s-154.1s] 不要活在梦里
[155.1s-156.9s] 震荡期本来就是量化的天下
[157.8s-158.8s] 所以这是你自己去评估
[158.8s-160.6s] 在这种环境里面你放多少苍苏
[160.8s-161.1s] 好
[161.1s-162.2s] 差一点是什么样子
[164.2s-165.5s] 差一点是什么样走成这样
[167.7s-169.0s] 这种波动就会比较大了
[169.4s-170.2s] 就差一点
[172.2s-172.5s] 对不对
[172.5s-175.1s] 但我觉得现在这种行情
[175.1s-176.2s] 现在这种成交量
[176.8s-178.9s] 我更倾向于就是走成这种
[179.7s-181.0s] 走成这种相对会比较平稳
[181.0s-182.2s] 他会找一个区间
[183.4s-184.8s] 走成这种的概率也不大
[185.3s-187.2s] 没有突发性事件很难走成这种
[187.2s-188.9s] 我们当时走成这种是因为什么战争
[189.8s-191.1s] 所以我个人更偏好于
[191.1s-192.7s] 他就是会走成这样子的
[192.8s-194.9s] 在这里面找一个相提去做震荡
[195.2s-196.6s] 所以后面你们会经常会看到
[196.6s-197.6s] 下来上去
[197.6s-198.6s] 下来上去
[198.6s-199.7s] 下来上去的这种
[199.8s-201.5s] 或者甚至有可能是一阴一阳
[201.5s-202.2s] 一阴一阳
[202.8s-203.7s] 搞名外阶段
[204.9s-205.3s] ok
[205.3s-208.0s] 这个叫做震荡弱势震荡阶段
[208.5s-209.8s] 或者如果强势
[209.8s-211.9s] 相提比较窄的话叫强势震荡阶段
[212.7s-213.8s] 我以前教过大家
[213.8s-215.8s] 我们叫做三做两不做
[216.4s-218.8s] 震荡行情只有一种方式可以做
[219.0s-219.8s] 什么行情
[220.4s-221.2s] 只有两种方式可以
[221.2s-223.4s] 第一震荡行情有超转做可以做
[223.6s-226.8s] 第二震荡行情有主线做可以做
[226.9s-229.1s] 其余其实都可以选择放弃不做
[230.0s-230.6s] ok
[231.3s-231.8s] 好
[231.9s-233.8s] 那么这是关于我们的指数则实系统
[233.8s-234.6s] 我就不强调了
[234.6s-236.3s] 震荡行情你不用去纠结
[236.4s-237.3s] 今天长的明天低了
[237.3s-238.4s] 今天长的明天低了
[238.6s-239.5s] 没有任何意义
[240.1s-241.1s] 没有任何意义
