[0.1s-182.7s] OK 那么市场今天是非常的
[183.7s-184.5s] 两级分化
[185.0s-188.8s] 不是市场非常的炸裂 是市场非常的两级分化
[189.1s-193.7s] 先来看一组我们的数据 打开我们的软件首页
[194.7s-196.2s] 很有意思的这几天
[197.2s-200.9s] 涨停数103家 跌停数15家
[201.4s-203.9s] 上涨加数2180家
[204.7s-209.0s] 下跌加数3224家
[209.8s-213.9s] 昨日涨停的近级率才20%
[214.4s-218.0s] 昨日连板近级率18.18%
[218.0s-222.9s] 陈娇亮又回到了3.2万亿
[223.6s-226.7s] 那么我们通过这一组数据
[227.0s-229.8s] 可以很明确的得出一个结论
[230.3s-231.8s] 就是我跟大家说的
[232.1s-235.1s] 在这种震荡行情里面
[235.4s-237.2s] 市场几度的割裂
[237.7s-239.5s] 叫做科技里面的
[240.3s-240.8s] 抱团
[241.3s-243.1s] 都不是我们市场的抱团
[243.6s-247.2s] 前面主声浪的时候叫做市场抱团 AI 科技
[248.0s-251.8s] 对吧 现在叫做抱团 AI 科技里面的 AI
[253.6s-256.9s] 所以你会发现今天市场感觉如火如荼
[256.9s-257.7s] 但是
[258.4s-261.8s] 涨跌幅榜一拉出来你就会发现
[262.0s-265.1s] 上涨的个股卷只有2180家
[265.9s-268.2s] 这是一个比较有意思的点
[268.7s-269.2s] 那么
[269.5s-272.5s] 还有比较有意思的点是什么呢
[272.5s-275.1s] 今天盘中我们会发现一个现象
[276.1s-276.9s] 指数
[277.6s-278.8s] 像过山车一样
[279.4s-280.4s] 有提感吗
[281.4s-283.5s] 指数像个股一样的在走
[283.5s-286.3s] 今天市场的波动率其实是非常大的
[287.7s-290.1s] 看这个还不是特别明显
[290.1s-292.7s] 你去看指数就会发现今天市场的波动率非常大
[293.3s-296.1s] 你们去看平均股价跋下来
[296.6s-297.1s] 回来了
[297.4s-298.3s] 跋又下来
[298.5s-299.2s] 又回来了
[301.7s-302.8s] 这个就是在
[303.9s-306.4s] 震荡行情里面非常典型的这种
[306.6s-308.4s] 特征点心的这种特征
