[0.2s-134.0s] 不必许多过 请你许多 同时不自责
[134.0s-136.6s] 比别的不要强一点点
[136.6s-178.8s] OK 今天这个 外面
[178.8s-181.5s] 外面我们叫做星风血雨
[181.5s-182.9s] 一看回头我们
[182.9s-184.8s] 哇操尾盘收盘了以后
[184.8s-188.3s] 它压得全红
[188.3s-192.7s] 你感兴
[192.7s-194.4s] 大家都有点
[194.4s-195.5s] 恫色
[195.5s-196.7s] 看出来了
[196.7s-199.8s] 估计今天确实是没朋友
[199.8s-203.1s] 今天如果你敢出去跟你身边的人说
[203.1s-204.5s] 你暴转
[204.5s-208.4s] 我相信你一定会挨打
[208.4s-212.1s] 被一堆人重重的违欧
[212.1s-213.9s] 是吧
[213.9s-215.7s] 是吧
[215.7s-217.5s] 就问你们心意概念股
[217.5s-219.5s] 服不服
[219.5s-222.4s] 以后
[222.4s-224.6s] 粉丝给我们总结了几个话叫做
[224.6s-227.1s] 第一 心意概念股
[227.1s-231.5s] 就比我们选股强一点点
[231.5s-232.6s] 真的很有才啊
[232.6s-236.1s] 还挺压运啊 感觉
[236.1s-237.7s] 我们家粉都还挺压运
[237.7s-247.0s] 心意概念股就比我们自己选股强一点点
[247.0s-248.5s] 所以我完全不敢说
[248.5s-250.2s] 今天真的不能去外面随便说了
[250.2s-254.4s] 可能真的要挨打
[254.4s-256.0s] 今天我有好几个朋友问我
[256.0s-257.1s] 感觉还好吗
[257.1s-260.6s] 我说感觉良好到不行啊
[260.6s-265.5s] 感觉良好到不行啊
[265.5s-267.5s] 那么
[267.5s-269.1s] 我只能说就是
[269.1s-273.7s] 今天的结果确实是让人有点出乎意料啊
[273.7s-277.0s] 最近的选股真的就是
[277.0s-279.0s] 神乎其计啊
[279.0s-281.2s] 最近我也不知道是为啥
[281.2s-283.8s] 是运气真的有点好
[283.8s-286.4s] 感觉好像基本上
[286.4s-289.5s] 我认定的方向基本都是主线
[289.5s-290.2s] 这是第一个
[290.2s-291.4s] 第二个
[291.4s-296.1s] 主线里面基本都选到了最强的那个股
[296.1s-298.9s] 有没有发现这种概念
[298.9s-300.9s] 所以我自己的感受就是这样子
[300.9s-303.5s] 就是每次选的都是主线
[303.5s-304.3s] 主线里面选的
[304.3s-306.5s] 偏偏又选到了最强的
[306.6s-308.3s] 偏偏又选到了最强的
[308.3s-310.4s] 今天是信义概念股
[310.4s-312.0s] VS软件概念股
[312.0s-313.8s] 其实软件概念股也也也ok
[315.8s-317.6s] 软件概念股今天也是赚钱的
[319.3s-320.2s] 昨天肯定是大赚的
[320.5s-322.8s] 软件今天软件概念股也是赚钱
[322.8s-323.7s] 软件三个票
[324.4s-326.0s] 软件当时选的是互电
[326.8s-327.3s] 对吧
[327.9s-330.1s] 然后昨天那个
[330.1s-332.0s] 铺定率选的是金方跟东兴
[332.2s-334.1s] 今天东兴调整的比较凶
[334.1s-335.9s] 金方今天还是给到一家
[337.5s-338.8s] 整体它还是赚钱
[339.3s-340.7s] 虽然说跟我们的
[341.0s-343.1s] 跟信义概念股还是有一定的差距
[343.1s-344.4s] 这个就是风水轮流转
[344.5s-346.7s] 有的时候软件会更强悍一点
[347.1s-350.5s] 有的时候我选的会更强悍一点
[350.5s-353.8s] 但是无论谁强悍
[353.8s-355.5s] 都是我们自家人强悍
[356.3s-359.8s] 外面跟我们比就算了吧
[360.2s-362.7s] 现在我们只能每一天来
[362.7s-365.3s] 就是放一下无敌是多么的寂寞
[365.8s-367.3s] 大家可还服气
[369.0s-370.9s] 心意钻出牛骨
[373.8s-377.0s] 最近状态确实有感觉有点超长发挥
[378.6s-380.5s] 就是有点超长发挥
[381.5s-384.2s] 一不小心好像又被我选到了PCB里面
[384.2s-385.5s] 最牛逼的标顶
[386.2s-389.9s] 上午看的时候生意科技还打不过
[391.1s-394.4s] 还打不过软件选的
[395.5s-397.9s] 标的打不过护垫
[398.3s-400.3s] 怎么一点钟一开盘以后
[400.3s-401.2s] 瞬间就知道
[401.2s-403.1s] 让他知道什么叫心意概念股
[405.8s-406.5s] 是不是
